Dataset,Model,Number of Examples,Retrieval Method,Uses CoT,Overall Answer Accuracy,'Check the Box' Answer Accuracy,'Basic Tax Problems' Answer Accuracy,'Basis Problems' Answer Accuracy,Overall Percentage of Uncertain Responses
CFR,gpt-3.5-turbo,300,gold_truth,FALSE,0.2,0.31,0.03,0.26,0
CFR,gpt-3.5-turbo,300,bypass_retrieval,FALSE,0.253333333,0.43,0,0.33,0.016666667
CFR,gpt-3.5-turbo,300,few_shot,FALSE,0.323333333,0.29,0.41,0.27,0.083333333
CFR,gpt-3.5-turbo,300,lecture_notes,FALSE,0.21,0.29,0,0.34,0.18
CFR,gpt-3.5-turbo,300,similarity_search,FALSE,0.2,0.35,0,0.25,0.223333333
CFR,gpt-3.5-turbo,300,similarity_search,TRUE,0.197324415,0.383838384,0.01,0.2,0.210702341
CFR,gpt-3.5-turbo,300,few_shot,TRUE,0.42,0.43,0.28,0.55,0.053333333
CFR,gpt-3.5-turbo,300,bypass_retrieval,TRUE,0.31,0.54,0.01,0.38,0.073333333
CFR,gpt-3.5-turbo,300,gold_truth,TRUE,0.453333333,0.42,0.22,0.72,0
CFR,gpt-3.5-turbo,300,lecture_notes,TRUE,0.22,0.27,0.04,0.35,0.083333333
CFR,gpt-4,300,gold_truth,FALSE,0.51,0.44,0.72,0.37,0
CFR,gpt-4,300,bypass_retrieval,FALSE,0.193333333,0.43,0.02,0.13,0
CFR,gpt-4,300,few_shot,FALSE,0.77,0.91,1,0.4,0.026666667
CFR,gpt-4,300,lecture_notes,FALSE,0.226666667,0.43,0.07,0.18,0
CFR,gpt-4,300,similarity_search,FALSE,0.24,0.48,0.03,0.21,0.15
CFR,gpt-4,300,gold_truth,TRUE,0.61,0.44,0.54,0.85,0
CFR,gpt-4,300,similarity_search,TRUE,0.306666667,0.47,0.01,0.44,0.093333333
CFR,gpt-4,300,bypass_retrieval,TRUE,0.253333333,0.47,0,0.29,0.29
CFR,gpt-4,300,few_shot,TRUE,0.766666667,0.9,1,0.4,0.046666667
CFR,gpt-4,300,lecture_notes,TRUE,0.36,0.33,0.06,0.69,0.016666667
CFR,text-davinci-002,300,gold_truth,FALSE,0.106666667,0.13,0.1,0.09,0
CFR,text-davinci-002,300,bypass_retrieval,FALSE,0.08,0.18,0,0.06,0
CFR,text-davinci-002,300,few_shot,FALSE,0.436666667,0.61,0.55,0.15,0
CFR,text-davinci-002,300,lecture_notes,FALSE,0.073333333,0.15,0.02,0.05,0
CFR,text-davinci-002,300,similarity_search,FALSE,0.093333333,0.17,0.01,0.1,0
CFR,text-davinci-002,300,similarity_search,TRUE,0.16,0.34,0.01,0.13,0.01
CFR,text-davinci-002,300,few_shot,TRUE,0.243333333,0.37,0.13,0.23,0.026666667
CFR,text-davinci-002,300,bypass_retrieval,TRUE,0.233333333,0.29,0.08,0.33,0.026666667
CFR,text-davinci-002,300,gold_truth,TRUE,0.336666667,0.51,0.24,0.26,0.006666667
CFR,text-davinci-002,300,lecture_notes,TRUE,0.126666667,0.3,0.04,0.04,0.006666667
CFR,davinci,300,lecture_notes,FALSE,0.083333333,0.07,0.14,0.04,0.2
CFR,davinci,300,bypass_retrieval,FALSE,0.09,0.08,0.15,0.04,0.97
CFR,davinci,300,few_shot,FALSE,0.073333333,0.04,0.05,0.13,0.2
CFR,davinci,300,similarity_search,FALSE,0.210702341,0.25,0.151515152,0.23,0
CFR,davinci,300,lecture_notes,TRUE,0,0,0,0,0.01
CFR,davinci,300,bypass_retrieval,TRUE,0.016666667,0,0.03,0.02,0.08
CFR,davinci,300,few_shot,TRUE,0.016666667,0.02,0.01,0.02,0.083333333
CFR,davinci,300,gold_truth,TRUE,0.016666667,0.01,0.03,0.01,0.023333333
CFR,davinci,300,gold_truth,FALSE,0.116666667,0.07,0.14,0.14,0.27
CFR,davinci,300,similarity_search,TRUE,0.05,0.08,0.05,0.02,0.023333333
CFR,gpt-4,300,mega_run,TRUE,0.916666667,0.82,1,0.93,0
